CrashId,VehicleId,PersonId,Age,Gender,Gender Text Format,State,Postal Code,Person Type,Person Type Text Format,Injury Status,Injury Status Text Format,Condition at Time of Crash,Condition at Time of Crash Text Format,Condition at Time of Crash2,Condition at Time of Crash2 Text Format,Action Taken by Officer,Action Taken by Officer Text Format,Alcohol Test Status,Alcohol Test Status Text Format,Type Of Alcohol Test,Type Of Alcohol Test Text Format,Drug Test Status,Drug Test Status Text Format,Type Of Drig Test,Type Of Drig Test Text Format,Ejection Status,Ejection Status Text Format,Restraint System,Restraint System Text Format,Helmet Use,Helmet Use Text Format,Air Bag Status,Air Bag Status Text Format,Speeding Related,Speeding Related Text Format,Driver Actions 1,Driver Actions 1 Text Format,Driver Actions 2,Driver Actions 2 Text Format,Driver Actions 3,Driver Actions 3 Text Format,Driver Actions 4,Driver Actions 4 Text Format,Driver Distracted By,Driver Distracted By Text Format,Roadway On Which Nonmotorist Was Traveling/Located,Direction nonmotorist was traveling,Direction Unknown,Striking Motor Vehicle ID,Bicycle ID,Non-Motorist Not In Roadway,Actions or Circumstances Prior to Crash,Actions or Circumstances Prior to Crash Text Format,To or From School,To or From School Text Format,Actions or Circumstances At Time Of Crash,Actions or Circumstances At Time Of Crash Text Format,Actions or Circumstances At Time Of Crash2,Actions or Circumstances At Time Of Crash2 Text Format,Location At Time Of Crash,Location At Time Of Crash Text Format,Safety Equipment,Safety Equipment Text Format,Safety Equipment2,Safety Equipment2 Text Format,Non-motorist Distracted By,Non-motorist Distracted By Text Format,Seating Position,Seating Position Text Format,Seating Position for Bus,City,Country,Driver License Jurisdiction,Driver License Jurisdiction Text Format,Drivers License Issued By,Drivers License Class,Commercial License Class,Commercial License Class Text Format,Transported to First Medical Facility By,Transported to First Medical Facility By Text Format,Name of the EMS agency,Name of the Intended Receiving Facility
881002,1,1,23,2,Female,CT,6511,1,Driver,B,Suspected Minor Injury (B),99,Unknown,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,2,Deployed-Front,99,Unknown,4,Ran Red Light,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
884051,2,3,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,99,Unknown,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,12,Followed Too Closely,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,,99,1,No,1,Not Transported,,
884051,3,4,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,99,Unknown,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,12,Followed Too Closely,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,,99,1,No,1,Not Transported,,
884061,1,1,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,99,Unknown,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,99,Unknown,99,Unknown,88,Not Applicable,99,Unknown,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,88,Not applicable,,88,1,No,1,Not Transported,,
884083,2,2,35,2,Female,CT,6515,1,Driver,C,Possible Injury (C),4,"Ill (sick), Fainted",4,"Ill (sick), Fainted",0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,1,Shoulder and Lap Belt Used,88,Not Applicable,6,Deployed-Combination,99,Unknown,13,Failed to Keep in Proper Lane,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
884084,2,2,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,99,Unknown,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,99,Unknown,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,CT,99,99,Unknown,1,Not Transported,,
884093,1,1,46,1,Male,CT,6471,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,2,Shoulder Belt Only Used,88,Not Applicable,2,Deployed-Front,99,Unknown,3,Failed to Yield Right-of-Way,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,North Branford,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
884108,2,2,22,2,Female,CT,6515,1,Driver,B,Suspected Minor Injury (B),2,Physically Impaired,2,Physically Impaired,4,Arrest/Summons,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,12,Followed Too Closely,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,ST RAPHAELS-YNHH
884108,1,1,29,1,Male,CT,6513,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,1,Apparently Normal,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
884135,1,2,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,99,Unknown,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,99,Unknown,99,Unknown,4,Ran Red Light,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,,99,1,No,1,Not Transported,,
884138,2,2,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,99,Unknown,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,4,"Restraint Used, Type Unknown",88,Not Applicable,1,Not Deployed,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,,99,99,Unknown,1,Not Transported,,
884142,1,1,33,1,Male,CT,6518,1,Driver,B,Suspected Minor Injury (B),6,Under the Influence of Medications/Drugs/Alcohol,2,Physically Impaired,0,None taken,99,Unknown if Tested,88,Not Applicable,99,Unknown if Tested,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,2,Deployed-Front,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,4,Talking on Hand-Held Electronic Device,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,Hamden,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,YALE-NH HOSP
884155,1,1,21,1,Male,CT,6513,1,Driver,C,Possible Injury (C),1,Apparently Normal,,,4,Arrest/Summons,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,99,Unknown,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,ST RAPHAELS-YNHH
884166,2,2,59,1,Male,CT,6513,1,Driver,O,No Apparent Injury (O),1,Apparently Normal,1,Apparently Normal,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,0,None Used-Motor Vehicle Occupant,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
884166,1,1,57,2,Female,CT,6516,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,1,Verbal Warning,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,0,None Used-Motor Vehicle Occupant,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,West Haven,UnitedStates,2,State,CT,4,1,No,3,EMS Ground,AMER MED RESPONSE,ST RAPHAELS-YNHH
884182,1,4,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,99,Unknown,99,Unknown,5,Ran Stop Sign,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
884189,2,2,,1,Male,,,1,Driver,O,No Apparent Injury (O),97,Other,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,99,Unknown,99,Unknown,99,Unknown,99,Unknown,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,,,,,,,1,Not Transported,,
884189,1,1,24,1,Male,CT,6513,1,Driver,C,Possible Injury (C),1,Apparently Normal,1,Apparently Normal,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,3,"Ejected, Totally",1,Shoulder and Lap Belt Used,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CT,4,1,No,1,Not Transported,,
884192,2,2,,99,Unknown,,,1,Driver,O,No Apparent Injury (O),99,Unknown,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,2,Deployed-Front,99,Unknown,12,Followed Too Closely,88,Not Applicable,88,Not Applicable,88,Not Applicable,99,Unknown if Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,,UnitedStates,99,Unknown,,99,99,Unknown,1,Not Transported,,
884219,1,1,24,1,Male,CT,,1,Driver,O,No Apparent Injury (O),99,Unknown,,,0,None taken,1,Test Not Given,88,Not Applicable,1,Test Not Given,88,Not Applicable,1,Not Ejected,99,Unknown,88,Not Applicable,1,Not Deployed,99,Unknown,1,No Contributing Action,88,Not Applicable,88,Not Applicable,88,Not Applicable,1,Not Distracted,,,,,,,,,,,,,,,,,,,,,,,11,"First Row, Left Seat",,New Haven,UnitedStates,2,State,CA,3,1,No,1,Not Transported,,
