"CrashID","geometry"
884284,c(-72.9284939999999, 41.3029480000001)
885347,c(-72.9270099999999, 41.30652)
885607,c(-72.876389, 41.3171310000001)
885683,c(-72.9402489999999, 41.2899770000001)
886047,c(-72.9750069999999, 41.3324000000001)
886342,c(-72.9351829999999, 41.3338660000001)
886499,c(-72.90195382, 41.3085503300001)
886954,c(-72.953772, 41.3133500000001)
887147,c(-72.9528299999999, 41.3217320000001)
887304,c(-72.935481, 41.29875)
888508,c(-72.948273, 41.3121850000001)
889186,c(-72.94822235, 41.3130075500001)
889415,c(-72.924615, 41.305524)
890217,c(-72.9370729999999, 41.3277170000001)
891213,c(-72.97514, 41.332523)
891529,c(-72.8921915999999, 41.2995398)
907673,c(-72.963566, 41.315596)
916634,c(-72.878247, 41.3279650000001)
923255,c(-72.92543918, 41.31166683)
924129,c(-72.93241299, 41.3023017300001)
941746,c(-72.97721, 41.3349000000001)
943244,c(-72.897431, 41.2933140000001)
943431,c(-72.9443669999999, 41.2934020000001)
958470,c(-72.944622, 41.2936310000001)
958962,c(-72.9355889999999, 41.3218680000001)
959391,c(-72.890072, 41.3210700000001)
986434,c(-72.9364879999999, 41.286552)
986435,c(-72.920021, 41.293731)
989081,c(-72.873259, 41.3149540000001)
990156,c(-72.965995, 41.3288450000001)
997829,c(-72.93797, 41.3179940000001)
1004779,c(-72.9192386, 41.3121108)
1016764,c(-72.9407899999999, 41.3160770000001)
1018935,c(-72.937174, 41.327679)
1027723,c(-72.894199, 41.2618830000001)
1034480,c(-72.90099, 41.2690210000001)
1052398,c(-72.94147, 41.2909000000001)
1060007,c(-72.948752, 41.2972950000001)
1067893,c(-72.90436485, 41.31006052)
1069408,c(-72.91905, 41.2988500000001)
1075673,c(-72.968579, 41.325203)
1078569,c(-72.9765599999999, 41.3379610000001)
1096254,c(-72.976844, 41.3348030000001)
1098636,c(-72.90356, 41.3110500000001)
1126931,c(-72.874588, 41.3142580000001)
1154445,c(-72.95018225, 41.31977485)
1159351,c(-72.881361, 41.323764)
1216278,c(-72.8965167699999, 41.3223120100001)
1219657,c(-72.8942979999999, 41.29026)
1225238,c(-72.88043406, 41.3256361800001)
1252482,c(-72.94140456, 41.2909672600001)
1261207,c(-72.92168, 41.3043270000001)
1273901,c(-72.933297, 41.326823)
1276873,c(-72.872979, 41.320595)
1281720,c(-72.933543, 41.3175610000001)
1299356,c(-72.8767099999999, 41.32183)
1301627,c(-72.927059, 41.30658262)
1305561,c(-72.944201, 41.2932200000001)
1314218,c(-72.89148521, 41.3205439700001)
1331412,c(-72.931463, 41.3036260000001)
1331834,c(-72.9351389999999, 41.332452)
1334443,c(-72.92701687, 41.30437276)
1334796,c(-72.8896369999999, 41.2719270000001)
1336188,c(-72.95296777, 41.3075217200001)
1336731,c(-72.9500828, 41.2974314800001)
1379825,c(-72.9418314, 41.29120269)
1381622,c(-72.90018, 41.29477)
1386319,c(-72.8674370099999, 41.3337269100001)
1410982,c(-72.9180509999999, 41.31016399)
1413504,c(-72.9106168499999, 41.3088675700001)
